Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,21438,22495,23431,24273,25010,25742,26359,27080,27946,28715,29540,32046,34002,36149,37988,39175,41121,42387,42573,41656,39658,37054,34226,29527,27373,27690,29808,29979,27758,29398
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,81904,83868,85326,86270,87544,89062,89413,89526,89930,90489,92188,94138,94759,98394,99859,100895,101770,102544,100992,97277,91494,85596,78228,71343,66547,64193,64761,63941,57808,57160
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,62,133,133,15,121,22,23,94,23,24,19,18,23,151,15,29,98,16,9,82,27,1,0,25,173,144,188,143,89,97
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,7,7,12,17,27,31,25,14,31,51,19,14,16,16,21,32,29,27,22,22,43,22,13,6,6,7,7,3,4,5
East Asia & Pacific,15075,13666,12437,11748,11223,10600,10770,11387,9989,11627,9256,9966,11070,12791,13511,13436,16729,17416,20227,19662,21306,17531,15601,9643,6970,4242,3752,3250,2233,2142
Eastern Mediterranean Region,28031,28060,27791,28898,27878,28515,29663,29880,29962,29105,23604,22128,21003,19090,14234,14909,14022,13367,9805,11306,16540,16939,17946,12945,14150,14790,15740,17047,15455,15985
Ecuador,805,513,590,757,351,146,63,101,584,1243,1184,861,410,207,99,32,21,14,4,6,3,3,1,2,0,1,3,2,2,1
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,594,686,768,846,922,1001,1060,1048,1083,1134,1150,1136,1128,1166,1098,1039,988,987,995,898,916,919,939,917,889,862,796,754,728,768
Eritrea,605,527,494,578,614,390,619,617,1038,625,462,1056,235,293,92,151,99,137,88,105,332,462,274,201,283,224,321,336,363,331
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,67,46,36,34,40,47,60,59,83,63,60,52,26,11,17,11,7,8,7,7,4,4,5,11,4,0,1,9,7,9
Ethiopia,6769,7287,3990,5135,5861,6342,6743,6782,7699,7371,15375,24688,25740,31961,39036,29768,26576,22459,17410,21828,22337,17487,17971,18211,10220,10213,7848,7445,10328,13104
Europe & Central Asia,607,571,978,1183,307,241,284,130,135,94,116,133,95,57,41,137,66,35,20,2,1,1,0,0,0,0,0,0,0,0
European Region,607,571,978,1183,307,241,284,130,135,94,116,133,95,57,41,137,66,35,20,2,1,1,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G20,172002,169963,161323,150351,138704,131406,126681,124982,113933,91423,73175,76200,82460,80389,80753,74149,75468,71240,64767,62070,66796,69613,46877,34682,47567,51706,35776,30893,35022,34594
Gabon,985,1033,1059,1030,1024,1027,1018,1017,1016,1016,985,993,942,859,730,615,525,484,508,587,672,786,874,913,908,843,805,758,737,715
Gambia,1395,1367,1240,1491,1680,1133,1705,1687,1366,872,1420,1626,1593,1389,876,758,929,947,1292,1147,1295,2018,2020,1827,1214,1445,1007,563,664,637
Georgia,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,13773,14609,15185,15682,16171,16829,17784,18993,20235,21535,22844,25262,26747,29054,29713,30332,30234,31306,32570,32693,32494,31338,30201,28366,26844,24337,22171,20533,21907,21597
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,32,48,50,68,14,20,4,21,28,34,32,19,28,15,8,9,6,1,0,1,0,1,1,1,0,1,0,0,0,0
Guinea,8155,8759,8999,9176,9423,9830,10137,10315,10928,11254,11429,12252,12695,13334,13917,13628,13601,14033,14430,14559,15037,15099,14693,14521,13599,12822,12142,11567,10990,11337
Guinea-Bissau,1394,1389,1385,1382,1378,1375,1388,1389,1395,1398,1513,1349,1148,925,646,432,350,374,459,540,585,596,522,509,441,393,370,393,593,584
Guyana,161,254,258,201,236,331,187,204,220,154,119,96,69,71,59,71,43,21,28,39,67,117,110,122,34,32,37,44,18,17
Haiti,440,1661,1045,1285,1533,1262,1388,571,1900,1277,1126,637,836,730,458,786,1072,969,1260,1640,1890,955,876,698,447,407,465,355,410,453
Honduras,12,23,20,8,11,20,13,12,12,13,12,7,3,3,4,4,2,3,2,4,2,2,2,3,1,2,3,0,1,1
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,162369,159473,151759,142187,131169,123847,120014,118550,108147,84608,70076,73843,80138,78316,77383,71265,71129,68053,62028,58617,60236,63142,42686,32921,45334,50605,34592,29355,34030,33372
Indonesia,3343,3739,3032,3229,2709,2801,2842,3171,2720,3405,1125,1047,1236,1096,2324,1692,3208,2376,2261,3012,6125,6096,3871,1480,2019,979,1077,1287,725,637
Iran,2268,2596,1623,1718,1187,1153,1126,495,314,277,33,19,27,64,17,40,18,20,13,3,1,1,0,0,0,0,0,0,0,0
Iraq,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,12116,12767,13125,13369,13618,14104,14567,14839,15181,15505,13199,15079,14333,15474,14313,11866,9688,8480,7374,5962,3585,1961,1719,3077,4103,4772,6138,7358,7963,8049
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Laos,108,196,183,203,244,219,363,347,208,145,390,209,204,207,193,163,198,197,183,141,177,126,275,170,158,75,21,22,24,23
Latin America & Caribbean,7886,9679,9210,7739,7126,7424,5639,4758,6893,5385,5512,4298,3411,2747,2123,2462,2577,2215,1926,2312,2675,1596,1536,1339,946,964,1130,1116,1143,1342
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,3996,3817,4178,4275,4225,4347,4545,5083,5243,5534,5688,6013,6013,5870,5636,5760,5557,5525,5385,4989,4712,4786,4029,3759,4135,4221,4583,4677,4645,4587
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,6053,6189,6303,6401,6371,6178,6236,6413,6547,6624,6750,7629,8020,8871,9591,10753,10767,9336,6674,5506,5344,4972,5140,5480,5786,5654,5373,5444,5763,5920
Malawi,21529,21968,22287,22246,21379,19434,18764,18202,17720,18450,15476,14877,13695,12517,11259,10971,11647,12530,12638,11697,9328,8370,7797,7773,7407,6943,6580,6633,7095,7076
Malaysia,132,106,99,104,149,148,127,67,36,29,60,58,61,35,35,33,26,24,29,18,13,5,5,8,7,5,3,5,5,5
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,20743,20680,20585,20425,20303,20425,20476,20313,20019,20136,20690,21427,23034,24569,26187,27684,28387,27492,27453,26725,26600,28581,32358,33339,32158,27890,21363,15832,17213,18000
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,223,325,337,369,991,1346,1378,1407,1221,1456,1180,904,684,824,488,487,99,473,721,371,602,634,382,395,1015,1190,1549,1294,1711,1997
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,21,19,18,16,15,14,15,14,10,10,7,7,6,5,5,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa,7998,8525,7630,7711,6947,7054,7232,6822,6839,6070,5385,5378,4849,4775,4205,4139,3774,3682,2409,2943,4422,4059,4411,3981,4761,4340,4726,4957,4609,5187
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,30036,29877,29930,30073,30458,30789,30669,30541,30748,31308,31062,31997,31173,30454,28274,26154,27786,27928,25203,26755,26778,25570,25059,24242,22738,21419,20820,19734,19845,20528
Myanmar,5070,3438,3270,3240,3234,2887,3204,3294,3108,3786,3614,5018,5958,7237,6695,7529,8428,10692,13470,11914,11433,8812,9453,5795,2889,1919,975,216,271,294
Namibia,495,428,360,407,350,435,542,562,586,477,333,369,279,265,367,224,214,91,33,15,7,8,1,15,40,19,43,133,93,192
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,105,257,157,86,64,45,52,39,73,101,44,38,139,76,43,54,69,70,39,32,32,0,4,8,3,7,3,1,1,1
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,21,20,27,29,20,39,26,17,25,13,9,7,5,5,4,3,1,0,0,0,0,0,1,1,0,1,3,4,2,3
Niger,15684,15819,16153,16450,16710,17096,17205,17833,18328,18828,19072,19350,18050,18504,18858,21313,21694,24041,26586,29875,31941,34358,35865,36155,34408,32208,29146,25790,22820,23822
Nigeria,148931,157502,165722,173695,180588,186263,191437,197467,202843,207571,212123,221139,226408,235380,236937,243827,257505,267368,280604,276715,266638,254072,239886,227310,218689,204672,186482,176183,187000,191106
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD Countries,51,47,45,41,38,36,36,33,27,26,21,20,18,16,15,13,13,11,6,6,6,5,5,5,4,4,3,3,3,3
Oman,12,99,80,92,25,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,10914,10532,10823,11641,11048,11314,12030,12339,11825,11718,7006,5431,4323,4158,2367,3510,3533,3946,3163,4945,8828,9551,9847,4013,3275,3922,4120,5195,4242,4031
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,4,4,4,1,0,1,1,4,3,1,1,1,5,8,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,704,648,633,803,935,986,828,842,736,660,955,1104,1113,1382,1638,1736,1977,1765,1944,2285,1606,1231,1156,1537,1391,870,1353,1306,945,928
Paraguay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Peru,571,734,625,723,476,333,283,209,185,163,177,115,126,91,87,53,26,22,14,12,6,8,10,34,41,41,39,33,11,19
Philippines,905,698,817,670,698,540,456,485,469,334,194,155,242,347,349,422,525,591,422,395,341,140,92,89,23,46,18,41,34,46
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region of the Americas,7886,9679,9210,7739,7126,7424,5639,4758,6893,5385,5512,4298,3411,2747,2123,2462,2577,2215,1926,2312,2675,1596,1536,1339,946,964,1130,1116,1143,1342
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,11216,11550,12054,12809,8490,8780,9205,10799,11354,11246,10703,10430,8570,6695,4710,3046,2326,2377,3119,3813,4271,4003,3331,2594,2655,3012,3893,4225,3404,3386
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,52,52,52,53,58,65,68,74,79,66,184,180,111,185,86,150,69,36,75,68,32,72,93,72,15,14,14,13,12,12
Saudi Arabia,70,39,82,83,34,83,72,84,191,48,22,6,5,3,2,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,8595,8636,9703,10604,11611,14173,16222,17852,17748,17667,20300,7662,7645,11333,9861,9822,10601,9843,8563,5932,11329,9949,10197,8762,6845,6706,5375,6203,7182,6740
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,9738,9800,9553,9652,9986,10165,10635,11247,11154,11820,12396,13779,14900,15604,16199,15946,15944,16173,17132,16686,15752,15309,14612,13963,13159,13346,13382,12755,11987,11717
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,69,70,76,82,84,91,93,89,85,91,107,130,168,184,206,220,222,262,437,352,377,244,197,165,114,112,156,145,96,87
Somalia,5143,4853,4974,5220,5362,5555,5711,5815,5931,5981,5926,6104,4999,4337,3552,3352,3080,2547,1634,1075,994,1111,1728,2863,3734,3970,3953,3686,3678,3899
South Africa,414,312,291,345,343,377,482,566,590,421,25,296,163,126,122,67,101,43,48,36,45,51,28,62,58,4,6,123,142,464
South Asia,211198,210400,196619,185458,169420,158349,150056,151180,140341,116581,86995,88324,96317,95862,92626,82477,78682,76264,72068,67955,74469,78194,53718,37567,50151,55719,39682,35512,38894,38044
South Korea,13,12,11,11,10,9,9,8,7,7,6,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
South Sudan,4758,4845,4952,5088,5249,5598,5810,5955,6157,6320,6498,6698,6439,6392,6328,6400,6297,6037,5739,5351,4982,4784,4855,5074,4988,5171,5032,4983,4885,5109
South-East Asia Region,210327,208098,192872,180881,164724,153096,144437,145656,134466,112229,84823,89040,96630,98151,99010,88131,86899,85522,84967,78144,83267,83380,57188,40773,51627,54421,37236,31424,35186,34417
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,569,726,793,730,457,1092,446,542,415,598,533,114,60,18,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa,597535,616144,629544,648373,660646,678956,698494,718665,737138,754029,774795,804611,813455,843428,848278,837892,839920,840584,836260,824920,806943,767183,730914,699246,661500,637625,611072,584822,584689,596488
